,reviews,rating,reivew_time
49,"This place is awesome and the reason why I think that is because of the people who's working there. We had the pleasure to meet a bartender named Alex, who with his professionalism and a big smile on this face turned our bad day into an awesome evening. I strongly recommend this place - is the best place in town.",5,5 months ago
50,"I had some issues with booking a table. Luckily it wasn't to busy and we got a pretty good table. The food was great, but guys it's 2019, 1 vegetarian option is just not enough. I had a burrata for starter and a risotto for mains which were both well prepared and with a nice twist to make it special. The staff was super friendly and knowledgeable, definitely trust their opinion. Definitely worth a visit.",4,8 months ago
51,"The views are wonderful and the bar and terrace are great places to hang out. The restaurant is a different story. Despite our reservation, we were kept one hour waiting for a table. The person seemingly in charge introduced himself as Coco and was unapologetic, unhelpful and patronising. The food was good although not good enough for the price and the service way below standard, there didn’t seem to be enough personnel. We loved staying in the hotel, the views of our room, the bar and terrace. Our anniversary dinner at Bokan was disappointing.",2,4 months ago
52,Beautiful views and cocktails were great! Also loved that it was not too crowded.,5,2 months ago
53,"Great view, but rather poor service",2,a week ago
54,Breakfast with a view. Fab hotel restaurant and bar with great views of London and perfect location in Canary wharf. Good knowledgeable staff very friendly and music gave a nice atmosphere to enjoy a weekend break away,4,6 months ago
55,"Nice views, good drinks. On the expensive side !",5,2 months ago
56,"A fun spot for drinks with a view. The cocktails are really nice, though service is quite slow. Definitely go at least once for the experience! The sunset is stunning.",4,4 months ago
57,Perfect location for a wonderful time. It is homely and nice to be there. The drinks are great and the staff are competend,5,4 months ago
58,"Very herlpful and friendly staff, especially a waitress called Deva. Would totally recommend it.",5,2 weeks ago
59,Nice view and cosy. Excellent place to chill with company of friends.,5,2 months ago
60,"I had the most wonderful time there for my birthday, the staff and manager made it really special ....my fav bar in Canary wharf!",5,2 months ago
61,Really good atmosphere .nice energy and vibes beautiful view you can see almost all london .,5,2 months ago
62,"Amazing views of London from the 39th floor, drinks prices are also high",4,a month ago
63,"Rooftop bar with a great view. Cocktails are pretty good and, depending on the staff member you get, service can be decent.",5,3 months ago
64,"Impressive view, my cocktail was ok",5,a week ago
65,I’ve been there once and definitely I had the best cocktails ever! Lovely place..lovely music..Staff was nice and friendly!,5,4 months ago
66,"Fantastic view for a romantic sunset, really really friendly staff, and outdoor warmers so we can appreciate the view on the rooftop and still be warm and cozy. the wine and food menu is awesome ⭐⭐⭐⭐�?",5,4 months ago
67,A rooftop bar with one of the best views of the London Skyline. Really good vibes and the staff are always willing to do anything to make your stay with them as comfortable as possible. I like the music there as well without is a blend of pop and techno. The only downside is there is limited parking in the area around the side streets.,5,7 months ago
68,Nice space. Service could be better.,4,a month ago
69,Great view and good service . Have been here many times,5,2 months ago
70,"We just had some drinks, party of 4, lovely bar however the brunette long hair skinny waitress rolled her eyes every time we ordered a drink and did not said a word to us during the 2 hrs we have been there. Rude behaviour for customer service 🙄",2,4 months ago
71,Nice view of the city. Particularly at night.,5,3 weeks ago
72,Amazing views and fantastic atmosphere. Food was good but didn't quite live up to my expectations,4,3 months ago
73,"Always a nice place to enjoy a drink with a breathtaking view. The staff is top notch, the place isn't usually crazy busy. Perfectly located so you don't have much buildings hidding the view. And the best part: drinks aren't overpriced like in many rooftop places. Definitely a place to go (and to take a date).",5,8 months ago
74,"Very nice rooftop bar open to the public not just hotel guests, with stunning views of Canary Wharf and the City. Bar prices are high but that's expected for this sort of location",5,2 months ago
75,"Went a couple of weeks ago with a girlfriend. Service was excellent and we were allowed to take our coffees to the rooftop, which had a dramatic view of London. We had the best time and the food was delicious.",5,5 months ago
76,"Don't expect a great cuisine! The food is average. The view, the band, the terrace, the atmosphere in general is fantastic!",4,2 months ago
77,"Nice view, quick service, good place for a few drinks",4,3 months ago
78,Love this place! The view is outstanding.,5,a month ago
79,"Amazing views, top place to share a wine with someone special.",5,3 months ago
80,"Good view and cocktails, service should definitely be better considering the prices.",4,3 months ago
81,"This bar is so beautiful with incredible views, great drinks, great atmosphere. But please, fix the service at the bar! Waited 30 mins for a drink. Bar staff were serving totally out of turn. We literally bought one bottle of prosecco (£55 plus service charge(!) of 12.5%) and was about to buy another but walked out due to the terrible service. If you're going to charge high end prices, be sure to provide high end service. Such a shame as this place has a really great vibe and has so much potential.",2,6 months ago
82,"Cool place, slow service. Quite expensive, as you'd imagine. Worth going for a drink, for the view alone",4,5 months ago
83,"Awesome views, great staff and excellent live music on Saturday night !",5,3 months ago
84,Delicious main course & desert! Very creative and ok portions. Great view!,5,4 months ago
85,Amazing views and extensive drinks menu. Quite expensive but it's a nice place so I wasn't complaining. Will go back for food soon.,4,6 months ago
86,Very nice experience. Good service friendly stuff,5,3 months ago
87,"Good food, nice place for drinks!",5,2 days ago
88,The views make it almost worth the cost of drinks and service,5,a month ago
89,You get a see a fantastic night skyline view of London.,5,a month ago
90,"Service very good !!!View absolutely incredible!!! Food not at all !!! I eat lobster with absolute burn taste In few hours after , I have to take some stomach pills , I feel sick , and still now this Taste of burn in my mouth Also I had a fish lazanja with a now taste at all , bit maybe it should be lake that . My friends get a lamb - I didn't try , but it small like wiskas food for cat We paid 300£ for 4 people , and no one enjoy So please try the food there and tell me if wrong Maybe Friday 13 , when I been there, there was now chef in the kitchen ! One more time thanks for good service !!!",1,5 months ago
91,Nice place very nice people,4,a week ago
92,Staff - please stop chatting and start serving 12.5% #decentviewthough,2,2 weeks ago
93,"Great views, however they really need to work on the speed of their service. When we visited there were maybe four or five people ahead of us at the bar, however there was only one bartender serving customers directly at the bar. Given the range of cocktails they have available this resulted in a half an hour wait to get served. More bar staff are urgently needed to make this place as slick as it could be. Other than that the bar area is very well presented and the floor to ceiling windows offer great views of the city. Be sure to go upstairs if the outdoor area is open",3,a year ago
94,"Amazing view, service and wine!",5,a month ago
95,Always having a good service and the best view ♥️,5,3 months ago
96,"From the moment you enter the lift that takes you to the 38th floor, you know this is going to be a special place. My gf and me had a table booked at 6.30 pm in order to catch the whole sunset from the 37th floor restaurant. We ordered the 6 course menu. Usually tasting menus provide ""just enough"" food to be full. In that sense I can say I was left satisfied with the quantities. Regarding flavours the food was really good. I found the wild boar superb. The dessert was an excellent choice to finish the whole meal. Enjoyed the whole experience a lot. The staff was particularly nice and helpful. We were assisted not only with the wine choice, but also with a lovely picture with the awesome sunset behind us. Totally recommendable place, also just for cocktails later in the night.",5,5 months ago
97,Great rooftop to enjoy the panoramic view of london! The decoration is great and we enjoyed a really good time with a concert inside.,5,6 months ago
98,"Not much to say, as I enjoyed my day, vievs, company and of course the food",5,a month ago
99,"Venue wise: A great place for a view if london at a distance. Upstairs make a great group gathering. Food: they are pretty innovative and so will only suit certain ppl’s taste. I ordered the beef which i was slightly disappointed with as it was too salty, other than that everything else was good especially the bread! Service: Top notch!",4,8 months ago
100,One of the best views in the city,5,3 days ago
101,"I come once in a while during my free time and still believe that this is one of the best hidden roof spots in London. Great staff, one of the best bar menus in London and breathtaking views at anytime or weather. Could not recommended more.",5,9 months ago
102,Great viewa,5,a day ago
103,"My partner took me to this restaurant for my birthday ! What can i say absolutely gorgeous views, Amazing Food and attentive staff ! I loved it i would eat there every time. Yummy :)",5,6 months ago
104,"Best view of London, day or night!",5,5 days ago
105,"Loved it, food is brilliant, staff are fantastic, go try it, you won't be disappointed.",5,2 months ago
106,Wow just went to this restaurant last minute for lunch on a Saturday and would say the food was so good with brillant view of London. The service was excellent and felt like a VIP . Thank so much and will definitely come back .,5,5 months ago
107,"Good food, great views",4,a month ago
108,"Amazing views, good food and service. Love going there .",5,6 months ago
109,"Great service, very tasty food, beautiful view! You may see London eye and bridge from up there. Quite loud music, but this is such place :) full of people eve in the middle of the week.",5,7 months ago
110,Amazing atmosphere free band,5,3 days ago
111,It’s an nice venue to take the miss out . High class bar and the view is amazing,5,5 months ago
112,Great service with an amazing view,4,2 months ago
113,"Domenico it's a surprise guy great cocktail and good flavour,go for it",5,4 months ago
114,The view is amazing. The service is great. It has very good choice of spirits. Defenetly recommend.,5,8 months ago
115,"Amazing night view for Canary Wharf area. Really romantic view near the window. A nice bar to Enjoy drink with friends and colleagues after work. While you might wait for a bit for your drink, just enjoy the time talking with your friends sharing all the joy of he day.",5,a year ago
116,Very beautiful view 😍,5,2 weeks ago
117,Great views. Very £££,4,3 weeks ago
118,"Wasn't sure whether the food here was good or not but took a risk and it did pay off! We opted for the 3 course brunch menu and the food was definitely with the money. Not too ponsy and pretentious and tasted the part. The waiter Morgana or I think that was her name as her name tag said ""Deborah"" despite saying it was Morgana, anyways she did an amazing job catering for all of us (party of 8 + 2 babies) . Despite getting frustrated at time maintained a smile throughout and a brilliant service. I would wholeheartedly recommend, if not for the food for the views!",5,a year ago
119,One of my favourite place,4,2 weeks ago
120,"Nice bar annex restaurant with great views over London. Music in the bar was quite loud, not ideal for a long conversation. The dinner in the restaurant was excellent. It's possible to have some snacks in the bar as well. Staff is professional and friendly.",4,a year ago
121,"Very nice place, awesome view, nice atmosphere. But expansive prices and very slow staff...",4,7 months ago
122,I have not had a chance to eat at Bokan but I have visited a couple of times for drinks. The drinks are like drinks. And much cheaper than the Shard. The views are great. Overlooking Canary Wharf. Also the restrooms have great views. :) There is a terrace on the top floor and it is a great place to enjoy a drink.,5,a year ago
123,Staff are good. Music is extremely loud. Food in our case was dry.,3,6 months ago
124,Better than average selection of Scotch and Vodka. Friendly bartenders and a terrific view of the city.,5,7 months ago
125,"Pretty decent view and atmosphere. Service was great. The price is just the London price tag, so it's expected to be expensive, I had a glass of Rioja for £11 but the quality is good enough. If you are looking for a quick drink near the offices then it's a good choice with a view.",5,9 months ago
126,"A great view over Canary Wharf and East London, Staff were friendly helpful & polite.",5,6 months ago
127,Great Place at 38th floor great breakfast and the Staff was very Gentle and Kindly....,5,7 months ago
128,"Amazing views, beautiful place however the lights could have been better designed (had a spot light on my face for the whole night), drinks are overpriced. Live music is really good and makes a difference and the terrace is the best part!",4,7 months ago
129,Stunning views from here but food is disappointing and very expensive,3,7 months ago
130,"Absolutely exceeded our expectations. The staff were all wonderful and seemed genuinely happy to work there. The food, drinks, ambience, and of course the view were all fantastic. We really couldn't fault it and can't wait to go back. The view is just brilliant and takes in the whole city, even in the bathrooms!",5,a year ago
131,Got to love this place!,5,2 weeks ago
132,"Absolutely stunning view. Worth visiting just for that alone. Furthermore, the place was quite upscale and the wait time was adequate. I would recommend a reservation for one of these tables with the best view!",5,9 months ago
133,Great bar and restaurant with amazing views of London,5,a month ago
134,"Fab location, great 270° views. Good vibes. Equally good for singles & couples. Busy on dry nights.",4,9 months ago
135,"Half an hour for an order at the bar. As per previous feedback it seems that the service is poor and they don't really listen to customers. Edit : the place was half empty, we stayed at end of the U shaped bar. They served both the other sides 3 times (with like 20 people that wee behind us). The person next to me eventually got tired (we've been waiting for at least 20 minutes now) and she called one of the bartenders out. He promptly apologised, served her, then when we said we've been waiting as well he said he doesn't take requests and prompted to ignore us.",1,9 months ago
136,The terrace on the 39th floor offers one of the best views of London. Thames during sunset looks 🔥,5,5 months ago
137,"Wonderful place to spend the evening. Nice views of London. Drinks were overflowing and good food. They have a top rooftop area that was a little chilly, but we stuck to the 38th floor which was warm and cozy. Very nice decor with a combination of wood, glass and metal. Sort of the warmth of a wood pub with modern glass and metal structure. I had the fish and chips with freshly made tartar sauce. The fish came straight from the fryer and was very light for this type of dish. My wife had Burrata Cheese with heirloom tomatoes and a Butcher's Tile with assorted cured meats. I nibbled a little on her dishes along with my fish and chips until I was full. I had a cocktail and a few beers and that was enough. The staff was very friendly and helpful considering we were Americans and neither of us has been back to London in years. Service took some time because the place was crowded, but we werent in a hurry. We will definately be back soon. We won't wait so long to visit London again.",5,6 months ago
138,The place looks great and the view is amazing. The prices are a bit on the high side which I would expect however the reason I can't give 5 stars is because a 12.5% tip is automatically added to the bill even if you are just ordering a beer at the bar!,4,10 months ago
139,Amazing views and reasanable prices,5,a month ago
140,Excellent views! Ambient atmosphere! Professional personnel!!,5,5 months ago
141,The Popstar is amazing,5,a month ago
142,The view is amazing. The food and drinks are good quality but not cheap.,5,7 months ago
143,Great views. Great service. Really good food. Fine dining style. Probably a little overpriced. Upper floor lounge area looks popular for drinks. Good outdoor space for summer months. Not sure the interior fits the style of dining.,4,a year ago
144,"Beautiful restaurant with friendly, welcoming and attentive staff. Food was second to none and the views of London City where simply stunning. Will definitely be returning on my next visit. Novotel Hotel was everything we could have asked for.",5,11 months ago
145,A Great Evening Out !,5,a month ago
146,"Service can be hit and miss, and drinks a bit pricey but good nonetheless and such gorgeous views. Good rooftop spot to enjoy a drink in the summer. Very Instagrammable, if that's your kind of thing.",4,7 months ago
147,Amazing views of London and fabulous selection of drinks and food,5,3 months ago
148,Great food. Terrific ambience.,5,5 months ago
149,View is grate and the drinks even better,4,2 months ago
150,Great spot for views. Nice cocktails and cool music. Good place for romantic dates :),5,9 months ago
151,Cool bar but needs a better customer service.,4,5 months ago
152,"Great service, food & views. Recommend reservations for getting a table",5,8 months ago
153,�?Contemporary Bar �?Awesome Views �?Must Visit �?Great view from Bōkan 38 bar of the ALL NEW ‘Harbour Central�?x7 tower development on the south east view. Awesome place to have working lunches as we were with our clients from Galliard Construction as we admire our efforts from the spectacular vantage point on the 38th / 39th floor of Novotel hotel in Canary Wharf. Menu is limited but adequate. Not too busy at lunch time. No booking required in day. Highly recommended to visit. Integrity Cleaning Ltd Office & Construction Cleaning,5,7 months ago
154,"3 words: Oh my God! Beautiful view, prices are correct. Excellent food and cocktails...now one of my favorite rooftop.",5,11 months ago
155,"Lovely place, great food and amazing view",5,5 months ago
156,"Really nice place to chill. We had a bottle of rose, which we very enjoyed. Also the view was amazing, with comfy sofas. Reccommend!",5,11 months ago
157,Beautiful place with an amazing view of London. Breakfast are delecious ! 5 stars !,5,7 months ago
158,Beautiful spot for a drink. Didn't have the time to have a bite to eat but would love to come back again sometime. Amazing views and attentive staff,5,11 months ago
159,"Fast service, great cocktails and one of the best views of the city as you're not in amongst the buildings so you get to see Tower Bridge and the Wheel. Prices are high as you'd expect. Head for the roof terrace on 39.",5,11 months ago
160,Amazing place and wonderful view of London!,5,2 months ago
161,Marvelous evening at this hidden gem. Came for birthday and staff made us feel very special. Gave a nice table with wonderful view. Food was really great. Very flavoursome crab starter with fresh gazpacho and yummy salmon and pigeon mains.,5,a year ago
162,Great food and service!,5,a month ago
163,Amazing views and good food!,4,2 months ago
164,"Very nice, very good food and excellent service. Kind of agree that the service is slow, but the people serving was very nice. The view is of course excellent!",5,11 months ago
165,"Stunning view over London. Could improve seating arrangements since there were many ""reserved"" seats with no-one turning up for them. Love the toilets!",4,a year ago
166,One of my favourite rooftops in London.,5,3 months ago
167,"Great environment, great staff, great view. Definitely recommend it",5,6 months ago
168,"I honestly cannot believe this place is so highly rated. Went there a couple months ago for drinks and only one of 3 different cocktails I tried wasn’t terrible. Went again shortly after for food, hoping for a better experience and the person I was with and I ended up competing for who had the worst dish! The food was really really bad. Must have just been a bad day considering all the positive reviews but the only good thing about this place for me was the view",2,a year ago
169,Such a beautiful place especially on a summers day. Rooftop views are nice and scenic. On a weekday it’s quiet so there’s opportunity to take pictures and not crowded. The cocktails were really nice but quite pricy as you may imagine. A nice hidden place that is just a short walk from Canary Wharf. I would like to come back again!,4,a year ago
170,"My favourite rooftop bar! So relaxed, comfy, great service and tasty drinks!",5,9 months ago
171,"A beautiful bar set with an incredible panoramic views across London. Service is great! Evelina was so lovely and recommended us the best drinks. Menu is great, prices are not that bad!",5,a year ago
172,Great views and atmosphere,4,2 weeks ago
173,Roof terrace is great! Stunning views recommend it,5,7 months ago
174,Really nice place a bit expensive but you are paying for the view (which is great even in the toilets hahaha) - service was good,4,8 months ago
175,Fast and friendly bar service,5,2 months ago
176,"Good food, perfect view, excellent service.",5,6 months ago
177,"Amazing view, just a bit overpriced",4,a month ago
178,"Beautiful place, nice drinks, great people. Best thing is you don't have to book just to have a drink. Smoking at the rooftop was a good facility.",5,a year ago
179,"Excellent views, not to be missed.",5,2 months ago
180,"Great good, friendly staff and fantastic views over central London. Met some work colleagues here for dinner and had a very pleasant dinner, good choice of food, including catering for a vegetarian in our group. Total price was reasonable based on what we ate and wine consumed. Would recommend as social or work dinner venue.",5,a year ago
181,Ok night out.,4,3 weeks ago
182,"Very nice evening, had a nice drink in the bar before sitting down in the restaurant for dinner. The wine chap was very knowledgeable to suit our dinner choices. Shame the bar tables were full after our meal but we enjoyed finishing the wine with the views of the city. Good option for canary wharf!",5,a year ago
183,Lovely rooftop bar amazing views across the river. Friendly service. Would definitely visit here again.,5,a year ago
184,Busy bar and restaurant. Served by personable staff,4,6 months ago
185,"disgrace...Didnt get served. Place was empty, I was the only person waiting 10 minutes at the bar while the barman washed the cocktail strainer. I asked him was he serving and he said yes in a tone and continued to wash dishes. So i left....",1,7 months ago
186,"Beautiful views from a hidden gem of the city!!! Great staff,really polite and bubbly! A must visit of the East side of town",5,11 months ago
187,"I came back for a visit after few months and I noticed the huge improvement in mood, friendliness and quality service. Peter is a fantastic host, made us feel very welcome, special and made us try some great gins. Pietro the bartender also made our experience, great drinks and experience, I can't wait to come back!",5,a year ago
188,Would highly recommend for either dinner or drinks. Rooftop bar area had great vibes and excellent music. Then on to dinner on the 38th floor with spectacular views across London facing west. Food was top quality to complement the impeccable service. Great for a date night or with a group of friends!,5,a year ago
189,Great view and service. Very well looked after.,5,8 months ago
190,They have the best coctails and the views are amazing,4,6 months ago
191,"I only went to the bar, but the service was brilliant and very friendly. I like my vodka martinis very dry and they were able to get it just right. Highly recommended just for the drinks, let alone the view.",5,a year ago
192,Amazing place with stunning views,5,2 months ago
193,Very nice spot to be and eat,5,3 months ago
