Restaurant Name,Price_range,Cuisine,number_of_reviews,Overall_rating,Sub_Ratings,tags,number_of_pics,number_of_5classes_ratings
The French Table,££££,"['European', 'French', 'Vegetarian Friendly']",1177,4.5,"[4.5, 4.5, 4.5, 4.5]","['tasting menu ', 'wagyu beef ', 'foie gras ', 'butter pudding ', 'hake ', 'ice cream ', 'cakes ', 'book well in advance ', 'special occasion ', 'french cuisine ', 'happy birthday ', 'fine dining ', 'set lunch ', 'birthday lunch ', 'excellent restaurant ', 'three courses ', 'lovely touch ']",292,"['943', '164', '44', '12', '6']"
Revolution,££ - £££,"['Pizza', 'British']",1215,4.5,"[3.5, 3.5, 3.5, 3.5]","['burger ', 'salad ', 'cocktail masterclass ', 'birthday drinks ', 'great drinks ', 'the river ', 'brilliant service ', 'with some friends ', 'great atmosphere ', 'friday night ', 'louis ', 'revs ', 'phoebe ', 'abril ', 'jasmine ', 'sofia ', 'lewis ']",237,"['954', '106', '44', '34', '65']"
Madhu's,££ - £££,"['Indian', 'Asian']",524,4,"[4.0, 4.0, 4.0, 4.0]","['salmon ', 'kulfi ', 'chilli paneer ', 'lamb chops ', 'curries ', 'bread ', 'set menu ', 'main course ', 'his team ', 'indian restaurant ', 'food was amazing ', 'birthday party ', 'best indian ', 'madhus ', 'franco ', 'starters ', 'manju ']",90,"['293', '91', '50', '34', '53']"
Wild Thyme,££ - £££,"['Cafe', 'European', 'British']",180,5,"[5.0, 5.0, 5.0]","['brunch ', 'bavette ', 'spicy beans ', 'seafood curry ', 'cured beef ', 'octopus ', 'cherry tomatoes ', 'veggie breakfast ', 'poached eggs ', 'french toast ', 'tempura ', 'skewers ', 'foie gras ', 'hummus ', 'ice cream ', 'tapas ', 'cake ']",88,"['157', '8', '3', '0', '1']"
Sweet Rose Cakery,£,"['Cafe', 'British', 'Vegetarian Friendly']",98,5,"[5.0, 5.0, 5.0]","['cupcakes ', 'sandwiches ', 'cheesecake ', 'cream scones ', 'panini ', 'french stick ', 'hummus ', 'nan ', 'jacket potato ', 'beef ', 'afternoon tea ', 'warm scones ', 'orsett hall ', 'lovely little place ', 'large glass ', 'visited today ', 'love this place ']",50,"['90', '7', '0', '1', '0']"
La Belle Epoque,££££,"['French', 'European', 'Vegetarian Friendly']",851,5,"[5.0, 5.0, 4.5, 4.5]","['tasting menu ', 'halibut ', 'amuse bouche ', 'mousse ', 'foie gras ', 'lamb ', 'bread ', 'an airport hotel ', 'michelin star ', 'cheese trolley ', 'fine dining ', 'french cuisine ', 'heathrow sofitel ', 'by the glass ', 'service was impeccable ', 'main course ', 'food and wine ']",384,"['669', '125', '20', '5', '1']"
Desi Flavours london ltd,££ - £££,"['Indian', 'Asian']",3,4.5,[],[],19,"['2', '0', '1', '0', '0']"
Melucci's,££ - £££,"['Italian', 'Deli', 'Vegetarian Friendly']",268,5,"[5.0, 4.5, 4.5, 5.0]","['brunch ', 'pancetta ', 'tiramisu ', 'scallops ', 'pasta ', 'eggs benedict ', 'italian breakfast ', 'home cooked food ', 'food was absolutely amazing ', 'italian products ', 'home made ', 'a great evening ', 'lovely atmosphere ', 'maria ', 'deli ', 'chef ', 'byob ']",38,"['225', '28', '9', '1', '2']"
Doosra,££ - £££,"['Indian', 'Vegetarian Friendly', 'Vegan Options']",192,5,"[5.0, 5.0, 4.5]","['samosas ', 'butter chicken ', 'kulfi ', 'murgh ', 'quality indian food ', 'okra ', 'curry ', 'pastry ', 'mango ', 'prawns ', 'ice cream ', 'kebab ', 'fries ', 'small menu ', 'head chef ', 'free range ', 'mogo chips ']",32,"['171', '12', '6', '2', '1']"
Namaste Gurkha,££ - £££,"['Indian', 'Asian']",357,5,"[5.0, 5.0, 5.0]","['thali ', 'lamb ', 'samosas ', 'naan bread ', 'curry ', 'kebab ', 'nepalese food ', 'delicious food ', 'kind staff ', 'excellent restaurant ', 'visited this restaurant ', 'set menu ', 'side dishes ', 'street food ', 'customer service ', 'recommend this restaurant ', 'great meal ']",117,"['322', '21', '4', '2', '4']"
Masa Restaurant,££ - £££,"['Middle Eastern', 'Vegetarian Friendly']",344,4.5,"[4.5, 4.5, 4.5, 3.5]","['rice ', 'lamb karahi ', 'family platter ', 'mixed grill ', 'salad ', 'naan ', 'chicken wings ', 'kabuli ', 'curries ', 'afghan food ', 'amazing food ', 'bring your own ', 'fresh food ', 'recommend this restaurant ', 'great restaurant ', 'love this place ', 'bara ']",92,"['281', '31', '13', '9', '6']"
Awesome Thai - Barnes,££ - £££,"['Asian', 'Thai', 'Vegetarian Friendly']",641,4.5,"[4.5, 4.5, 4.5, 4.5]","['thai food ', 'green curry ', 'papaya salad ', 'soft shell crab ', 'tiramisu ', 'prawn toast ', 'satay ', 'curries ', 'spring rolls ', 'mixed starter ', 'scallops ', 'cake ', 'chicken ', 'awesome food ', 'lovely atmosphere ', 'attentive service ', 'saturday night ']",237,"['487', '88', '24', '6', '3']"
Mezzet Dar,££ - £££,"['Mediterranean', 'Spanish', 'Middle Eastern']",428,5,"[5.0, 5.0, 4.5, 4.5]","['tapas ', 'patatas bravas ', 'courgette flowers ', 'octopus ', 'tempura ', 'tortillas ', 'lamb ', 'halloumi ', 'potatoes ', 'cod ', 'baklava ', 'pudding ', 'scones ', 'sister restaurant ', 'delicious food ', 'hampton court ', 'friday evening ']",168,"['356', '40', '12', '4', '2']"
Cuore Food From The Earth,£,"['Italian', 'Cafe', 'European']",95,5,"[5.0, 5.0, 5.0]","['pasta ', 'cakes and pastries ', 'sandwich ', 'italian cafe ', 'excellent coffee ', 'italian music ', 'open friday ', 'bring your own wine ', 'freshly prepared food ', 'lovely cafe ', 'lunch or dinner ', 'relaxed atmosphere ', 'take away ', 'love this place ', 'lovely evening ', 'last night ', 'chope ']",38,"['80', '10', '1', '0', '0']"
4 Locos Argentine Steakhouse,££ - £££,"['Steakhouse', 'Argentinian', 'Gluten Free Options']",113,5,"[5.0, 5.0, 4.5]","['ribeye ', 'empanadas ', 'lemon curd ', 'quality steak ', 'avocado salad ', 'squid starter ', 'ribs ', 'argentinian beef ', 'bread ', 'fries ', 'chicken ', 'excellent steak ', 'fantastic lunch ', 'cooked rare ', 'burger night ', 'buenos aires ', 'cooked perfectly ']",83,"['98', '7', '6', '0', '0']"
Ponte Nuovo,££ - £££,"['Italian', 'Pizza', 'Vegetarian Friendly']",847,4.5,"[4.5, 4.5, 4.5, 4.0]","['pizza ', 'tiramisu ', 'fillet steak ', 'calamari ', 'pasta dishes ', 'bread ', 'salad ', 'italian food ', 'service was excellent ', 'christmas lunch ', 'staff were attentive ', 'work colleagues ', 'food was lovely ', 'birthday meal ', 'a great evening ', 'high street ', 'great restaurant ']",223,"['597', '158', '42', '17', '12']"
L'oro di Napoli,£,"['Italian', 'Pizza']",712,4.5,"[5.0, 4.5, 4.5, 4.0]","['pizza ', 'pastiera ', 'antipasti ', 'tiramisu ', 'cakes ', 'salad ', 'wood fired oven ', 'fresh ingredients ', 'small restaurant ', 'fast service ', 'take away ', 'amazing food ', 'italian food ', 'pizzeria ', 'ealing ', 'dough ', 'neapolitan ']",267,"['479', '65', '9', '8', '11']"
Oliveira Organic Vegetarian Kitchen,££ - £££,"['International', 'European']",194,5,"[5.0, 5.0, 5.0]","['brunch ', 'pierogi ', 'chocolate fudge ', 'zucchini fritters ', 'acai bowl ', 'cassava ', 'vegetarian plate ', 'jerusalem artichoke ', 'handmade pasta ', 'sorbet ', 'fish meat ', 'padron peppers ', 'skewers ', 'curry ', 'eggs benedict ', 'parsnips ', 'bread ']",154,"['174', '8', '4', '0', '2']"
Istanbul Grill,££ - £££,"['Turkish', 'Vegetarian Friendly', 'Vegan Options']",82,5,"[5.0, 5.0, 4.5]","['mixed grill ', 'lamb chops ', 'calamari ', 'kebab ', 'salad ', 'rice ', 'belly dancer ', 'waitress emily ', 'delicious food ', 'love turkish food ', 'lovely atmosphere ', 'excellent restaurant ', 'friday and saturday ', 'visited for the first time ', 'large portions ', 'great cocktails ', 'whole evening ']",26,"['72', '7', '2', '0', '0']"
Madhu's Heathrow,££ - £££,"['Indian', 'Asian', 'Vegetarian Friendly']",624,4.5,"[4.5, 4.5, 4.0, 4.0]","['lamb chops ', 'roomali roti ', 'prawns ', 'curries ', 'rice ', 'salmon ', 'poppadoms ', 'bread ', 'sheraton skyline ', 'indian food ', 'robata grill ', 'our waiter ', 'hotel guests ', 'bath road ', 'set menu ', 'best indian ', 'fine dining ']",175,"['376', '138', '55', '21', '24']"
La Plata Steakhouse,££ - £££,"['Steakhouse', 'Latin', 'Argentinian']",200,5,"[5.0, 5.0, 4.5]","['steak ', 'empanadas ', 'fries ', 'all meat ', 'dulce de leche ', 'portobello mushrooms ', 'cheesecake ', 'mixed salad ', 'patatas bravas ', 'side salad ', 'ice cream ', 'pancakes ', 'chimichurri sauce ', 'lunch offer ', 'argentine experience ', 'east sheen ', 'chef martin ']",74,"['161', '32', '2', '0', '1']"
MOMO & ROTI,££ - £££,['Asian'],94,5,"[5.0, 5.0, 5.0]","['roti ', 'dumplings ', 'chilli ', 'wraps ', 'chicken ', 'nepalese food ', 'gurkha beer ', 'rugby game ', 'great service and great food ', 'a great evening ', 'nepali ', 'sukuti ', 'basant ', 'dish ', 'bite ', 'veg ', 'heathrow ']",121,"['83', '7', '1', '1', '0']"
Cochin,££ - £££,"['Indian', 'Vegetarian Friendly', 'Vegan Options']",234,4.5,"[4.5, 4.5, 4.5]","['masala dosa ', 'kerala food ', 'lamb curry ', 'veg dishes ', 'crab ', 'seafood ', 'bread ', 'poppadoms ', 'south indian ', 'interesting flavours ', 'kerala melon ', 'delicious food ', 'enjoyable meal ', 'under new management ', 'best indian ', 'booked a table ', 'a great evening ']",68,"['189', '28', '8', '4', '3']"
VyTA Covent Garden,££ - £££,"['Italian', 'Fusion']",68,3.5,"[3.0, 3.0, 2.5]","['salad ', 'high quality food ', 'outside seating ', 'dinner with friends ', 'service was excellent ', 'our waiter ']",102,"['25', '6', '6', '4', '13']"
Taste Of Peshawar,££ - £££,['Pakistani'],142,5,"[5.0, 5.0, 5.0]","['thaali ', 'kebab ', 'pilau ', 'grilled meat ', 'chops ', 'curries ', 'mixed grill ', 'halwa ', 'fries ', 'green tea ', 'peshawari food ', 'amazing food amazing service ', 'after reading some good reviews ', 'would highly recommend this restaurant ', 'regular place ', 'mouth watering ', 'very generous portions ']",62,"['131', '4', '1', '1', '2']"
Mezzet Lebanese Restaurant,££ - £££,"['Lebanese', 'Mediterranean', 'Middle Eastern']",1222,4.5,"[4.5, 4.5, 4.5, 4.5]","['baklava ', 'hummus ', 'cold mezze ', 'chicken tagine ', 'mixed grill ', 'prawns ', 'our waiter ', 'set menu ', 'sparkling water ', 'great food and service ', 'hampton court ', 'fantastic meal ', 'lovely evening ', 'lovely restaurant ', 'jonas ', 'starters ', 'lebanon ']",247,"['975', '156', '43', '19', '12']"
Eastern Fire,£,"['Malaysian', 'Vegetarian Friendly']",171,4.5,"[4.5, 5.0, 4.5, 3.5]","['roti canai ', 'fish curry ', 'sri lankan dishes ', 'char kway teow ', 'string hoppers ', 'prawns ', 'tongue ', 'chicken ', 'pancakes ', 'authentic malaysian food ', 'teh tarik ', 'the owner chef ', 'ikan bilis ', 'divine food ', 'taste of home ', 'every single dish ', 'rayners lane ']",74,"['128', '32', '4', '6', '1']"
No 97,££ - £££,"['European', 'British', 'Vegetarian Friendly']",433,4.5,"[4.5, 4.5, 4.5]","['brunch ', 'mackerel ', 'guinea fowl ', 'parfait ', 'chorizo ', 'poached eggs ', 'bread ', 'pork ', 'potatoes ', 'gin bar ', 'great gin ', 'gin tasting ', 'sat at the bar ', 'small plates ', 'tapas style ', 'master chef ', 'maple road ']",222,"['329', '67', '18', '9', '8']"
Q Verde,££ - £££,"['Italian', 'Mediterranean', 'European']",635,4.5,"[4.5, 5.0, 4.5, 4.5]","['pasta ', 'saltimbocca ', 'antipasti ', 'tiramisu ', 'calves liver ', 'prawns ', 'steak ', 'cake ', 'pudding ', 'cod ', 'potatoes ', 'black truffle ravioli ', 'italian food ', 'specials board ', 'kew gardens ', 'complimentary limoncello ', 'family run restaurant ']",101,"['474', '116', '14', '5', '6']"
Sahara Grill Hounslow,££ - £££,"['Steakhouse', 'Fusion']",313,4.5,"[4.5, 4.5, 4.0]","['lamb chops ', 't bone ', 'custard ', 'wings ', 'burger ', 'mint crush ', 'our waiter ', 'food was amazing ', 'mushroom sauce ', 'clean restaurant ', 'mouth watering ', 'brilliant service ', 'be visiting again ', 'cooked to perfection ', 'great restaurant ', 'place to eat ', 'lovely evening ']",178,"['257', '30', '15', '6', '3']"
"Sebastian's Italian, Richmond",££ - £££,"['Italian', 'Pizza', 'Mediterranean']",179,4.5,"[4.5, 5.0, 4.5]","['pizza ', 'cherry tomatoes ', 'tiramisu ', 'grilled chicken ', 'burrata ', 'gamberi ', 'pasta dishes ', 'linguine ', 'starters and mains ', 'sea bass ', 'ham ', 'bread ', 'potatoes ', 'prawns ', 'filet ', 'efficient and friendly service ', 'excellent pasta ']",46,"['144', '27', '3', '0', '4']"
La Trompette,££££,"['French', 'European', 'Vegetarian Friendly']",1084,4.5,"[4.5, 4.5, 4.5, 4.0]","['suckling pig ', 'souffle ', 'trompette ', 'gilt head bream ', 'tasting menu ', 'agnolotti ', 'cheese board ', 'cheeseboard ', 'mackerel ', 'truffle ', 'short ribs ', 'lamb ', 'bread ', 'three course meal ', 'linguine ', 'amuse bouche ', 'ice cream ']",261,"['768', '198', '62', '21', '4']"
Ristorante Del Posto,££ - £££,"['Italian', 'Pizza', 'Mediterranean']",107,5,"[5.0, 5.0, 4.5]","['arancini ', 'pasta ', 'calves liver ', 'king prawns ', 'tiramisu ', 'ice cream ', 'st margaret ', 'lovely warm atmosphere ', 'busy early evening ', 'italian experience ', 'enjoyable restaurant ', 'wine list is extensive ', 'local italian restaurant ', 'birthday dinner ', 'visited with friends ', 'beautiful restaurant ', 'fabulous food ']",36,"['95', '7', '2', '1', '1']"
Imperial Arms,££ - £££,"['British', 'Vegetarian Friendly']",603,4.5,"[4.5, 4.5, 4.5, 4.5]","['sunday roast ', 'lobster ', 'surf and turf ', 'burger ', 'beef ', 'yorkshire pud ', 'the pub ', 'booked a table ', 'lovely atmosphere ', 'food was amazing ', 'home made ', 'friday night ', 'lovely evening ', 'courtyard ', 'tina ', 'russell ', 'vegan ']",125,"['473', '79', '22', '12', '15']"
Jaipur of Chigwell,££ - £££,"['Indian', 'Asian']",576,4.5,"[4.5, 4.5, 4.5]","['curry ', 'naan bread ', 'king prawns ', 'lamb shank ', 'cake ', 'indian restaurant ', 'best indian ', 'travel lodge ', 'complimentary drinks ', 'local indian ', 'excellent customer service ', 'lovely food ', 'excellent restaurant ', 'take away ', 'last night ', 'lovely evening ', 'be visiting again ']",102,"['478', '53', '20', '6', '19']"
Masala Inn Restaurant,££ - £££,"['Indian', 'Asian']",260,5,"[4.5, 4.5, 4.5]","['masala ', 'railway lamb ', 'papadoms ', 'curries ', 'chicken ', 'scallops ', 'indian food ', 'best indian ', 'complimentary drinks ', 'curry house ', 'saturday night ', 'fantastic food ', 'side dishes ', 'take away ', 'service was excellent ', 'great restaurant ', 'a great evening ']",70,"['220', '21', '11', '3', '1']"
Niyom Thai Restaurant,££ - £££,"['Asian', 'Thai', 'Vegetarian Friendly']",130,5,"[5.0, 5.0, 4.5]","['thai food ', 'giant prawns ', 'papaya salads ', 'thai green curry ', 'mixed starter ', 'cakes ', 'duck ', 'lovely intimate restaurant ', 've tasted ', 'presented beautifully ', 'between courses ', 'last night ', 'fresh ingredients ', 'stir fry ', 'great friendly service ', 'food was fantastic ', 'near future ']",72,"['116', '7', '3', '2', '2']"
Il Vesuvio Restaurant,££ - £££,"['Italian', 'Pizza', 'Mediterranean']",115,4.5,"[4.5, 4.5, 4.5]","['pizza ', 'calamari ', 'tiramisu ', 'spaghetti ', 'lamb cutlets ', 'seafood ', 'lovely flavours ', 'complimentary lemoncello ', 'chilli oil ', 'italian menu ', 'delicious food and friendly staff ', 'course set menu ', 'be visiting again ', 'quality ingredients ', 'lovely restaurant ', 'home made ', 'a late lunch ']",55,"['89', '16', '6', '1', '0']"
YO! Richmond,££ - £££,"['Japanese', 'Sushi', 'Asian']",352,4.5,"[4.0, 3.5, 3.5, 3.5]","['sushi ', 'katsu ', 'blue monday ', 'quick service ', 'vegan options ', 'great food and service ', 'quick bite ', 'richmond station ', 'lovely meal ', 'karolina ', 'pumpkin ', 'booth ']",54,"['249', '48', '17', '13', '20']"
wagamama,££ - £££,"['Japanese', 'Asian', 'Vegetarian Friendly']",396,4.5,"[4.5, 4.5, 4.0]","['ramen ', 'steamed buns ', 'chicken katsu ', 'donburi ', 'bang bang cauliflower ', 'free green tea ', 'food was amazing ', 'lovely service ', 'lovely dinner ', 'service with a smile ', 'dining experience ', 'served quickly ', 'lovely restaurant ', 'lovely waitress ', 'quick service ', 'quick lunch ', 'luisa ']",55,"['300', '57', '17', '10', '10']"
Madisons,££ - £££,"['American', 'British', 'Vegetarian Friendly']",502,4.5,"[4.5, 4.5, 4.5, 4.5]","['omg burger ', 'ribs ', 'wild boar ', 'pulled pork ', 'steak ', 'ice cream ', 'birthday card ', 'great burgers ', 'huge portions ', 'great atmosphere ', 'birthday meal ', 'fantastic meal ', 'cooked to perfection ', 'lovely evening ', 'food was amazing ', 'recommend this restaurant ', 'friday night ']",77,"['394', '73', '17', '8', '9']"
The Voujon Restaurant,££ - £££,"['Indian', 'Asian']",443,5,"[4.5, 5.0, 4.5]","['curry ', 'poppadoms ', 'cake ', 'lamb ', 'box of chocolates ', 'complimentary drinks ', 'best indian ', 'indian restaurant ', 'fantastic food and service ', 'fantastic restaurant ', ""couldn't do enough "", 'last night ', 'wonderful evening ', 'visited this restaurant ', 'take away ', 'booked a table ', 'maltesers ']",88,"['381', '36', '7', '6', '10']"
Lugana Italian Restaurant,££ - £££,"['Italian', 'Mediterranean', 'European']",303,4.5,"[4.5, 4.5, 4.5]","['veal ', 'mussels ', 'sea bass ', 'potatoes ', 'main course ', 'lovely meal ', 'service was excellent ', 'great menu ', 'family meal ', 'elmers end ', 'cooked to perfection ', 'wine list ', 'saturday night ', 'set menu ', 'recommend this restaurant ', 'waiting staff ', 'specials ']",119,"['236', '45', '11', '4', '6']"
Buenos Aires Argentine Steakhouse - Chiswick,££ - £££,"['Steakhouse', 'Argentinian']",906,4.5,"[4.5, 4.5, 4.0, 4.0]","['steak ', 'empanadas ', 'lomo ', 'provoleta ', 'dulce de leche ', 'chorizo ', 'cheesecake ', 'salad ', 'fries ', 'bread ', 'our waiter ', 'cooked to perfection ', 'peppercorn sauce ', 'melt in the mouth ', 'food and wine ', 'food was amazing ', 'lovely atmosphere ']",322,"['596', '158', '54', '20', '11']"
Young's Peking Restaurant,££ - £££,"['Chinese', 'Asian', 'Vegetarian Friendly']",583,4.5,"[4.5, 5.0, 4.5, 4.5]","['crispy duck ', 'salt and pepper prawns ', 'spare ribs ', 'special fried rice ', 'spring rolls ', 'pancakes ', 'chinese food ', 'set menu ', 'lovely restaurant ', 'wembley event ', 'recommend this restaurant ', 'amazing food ', 'friendly atmosphere ', 'event days ', 'youngs ', 'celebrities ', 'dishes ']",83,"['466', '37', '11', '11', '12']"
R & H cafe gallery,££ - £££,"['Cafe', 'Middle Eastern', 'Persian']",288,5,"[5.0, 5.0, 4.5]","['brunch ', 'cakes ', 'pistachio cake ', 'salad ', 'bread ', 'potatoes ', 'richmond park ', 'persian restaurant ', 'great coffee ', 'delicious food ', 'home made ', 'love this place ', 'saffron ', 'anjir ', 'mirza ', 'figs ', 'dill ']",145,"['235', '23', '4', '1', '4']"
Al Boccon Di'vino is Non Solo Vino,££ - £££,"['Italian', 'Mediterranean', 'Vegetarian Friendly']",941,4.5,"[4.5, 4.5, 4.5, 4.5]","['suckling pig ', 'antipasti ', 'razor clams ', 'pasta ', 'panna cotta ', 'prosciutto ', 'prawns ', 'anti pasti ', 'tasting menu ', 'pork ', 'truffle ', 'potatoes ', 'soup ', 'pudding ', 'lost count ', 'italian food ', 'book well in advance ']",268,"['757', '94', '34', '18', '18']"
The Bloomsbury Pub,££ - £££,"['Seafood', 'British']",299,4.5,"[4.5, 4.5, 4.5, 4.5]","['sunday roast ', 'roast potatoes ', 'pizza ', 'scampi ', 'ribs ', 'yorkshire pudding ', 'chicken ', 'salad ', 'great grub ', 'lovely roast ', 'great sunday lunch ', 'excellent food ', 'cooked to perfection ', 'friendly atmosphere ', 'washed down ', 'local area ', 'booked a table ']",110,"['246', '29', '7', '7', '10']"
Little Mumbai,££ - £££,"['Indian', 'Asian']",277,4.5,"[4.5, 4.5, 4.5]","['goan fish curry ', 'chaat ', 'fried spinach ', 'poppadoms ', 'lamb rogan josh ', 'chicken ', 'onion bhaji ', 'bread ', 'mumbai street food ', 'indian restaurant ', 'would recommend booking in advance ', 'best indian ', 'small restaurant ', 'takeaway orders ', 'mango chutney ', 'the real deal ', 'local residents ']",44,"['216', '33', '12', '3', '6']"
Yaalu Yaalu Selsdon,££ - £££,"['Indian', 'Asian']",347,4.5,"[4.5, 4.5, 4.5]","['wild boar ', 'goat curry ', 'kingfish ', 'sardines ', 'egg fried rice ', 'king prawns ', 'okra ', 'prawn starter ', 'ribs ', 'beef ', 'ice cream ', 'salad ', 'bread ', 'potatoes ', 'fries ', 'sri lankan food ', 'banana leaf ']",107,"['273', '53', '9', '5', '7']"
Positano,££ - £££,"['Italian', 'Pizza', 'Vegetarian Friendly']",284,4.5,"[4.5, 4.5, 4.5, 4.5]","['pizza ', 'sardines ', 'spaghetti ', 'seafood ', 'calves liver ', 'panna cotta ', 'potatoes ', 'chicken ', 'family run restaurant ', 'happy birthday ', 'great atmosphere ', 'extensive menu ', 'local italian restaurant ', 'friendly restaurant ', 'house wine ', 'birthday meal ', 'a great evening ']",21,"['202', '56', '16', '2', '5']"
ASK Italian,££ - £££,"['Italian', 'Pizza', 'Vegetarian Friendly']",383,4.5,"[4.0, 4.0, 3.5, 3.0]","['pizza ', 'butterfly prawns ', 'ravioli ', 'sea bass ', 'his team ', 'busy night ', 'lovely meal ', 'food was great ', 'served quickly ', 'family lunch ', 'italian food ', 'quick service ', 'relaxed atmosphere ', 'my mum ', 'mid week ', 'high street ', 'booked a table ']",49,"['260', '56', '31', '23', '12']"
Sipson Tandoori Indian Restaurant,££ - £££,"['Indian', 'Asian']",935,4.5,"[4.5, 4.5, 4.5, 4.5]","['curry ', 'lamb ', 'naan bread ', 'recommend this restaurant ', 'take away ', 'great meal ', 'lovely food ', 'heathrow area ', 'heathrow airport ', 'indian ', 'hotel ', 'takeaway ', 'waiters ', 'delivery ', 'abdul ', 'west ', 'england ']",176,"['708', '144', '34', '14', '17']"
Leila Moroccan and Lebanese Restaurant,££ - £££,"['Lebanese', 'Moroccan', 'Mediterranean']",325,4.5,"[4.5, 4.5, 4.5, 3.5]","['tagine ', 'hummus ', 'baklawa ', 'chicken ', 'filo pastry ', 'tavuk ', 'cheese rolls ', 'meze dishes ', 'wraps ', 'potatoes ', 'delicious food ', 'mint tea ', 'groupon deal ', 'lovely atmosphere ', 'sunday evening ', 'great restaurant ', 'lovely evening ']",126,"['242', '45', '5', '6', '16']"
