,Content,Date,Rating,Restaurant Name,Review ID
17,Stayed in Novotel. Used Boken bar on 38th floor and rooftop. £9.50 for glass of Prosseco and £3 for bottle of Coke plus 12.5% service charge even if you order at the bar ! Open to non residents. Worth going once (sunset) to catch the views over London. Restaurant and food not used. SX,October 2019,3.0,BOKAN 38 Bar & 39 Rooftop,724684511
18,First waiting for a table at the entrance to see the staff letting others without reservation overtake us. Then at the table to waiter was so arrogant and rude that we simply left. Fantastic view though.,November 2019,2.0,BOKAN 38 Bar & 39 Rooftop,727959956
19,"My wife and I celebrated our 1-year anniversary and booked Bokan, mostly for its lofty and impressive position on the 38th floor of the Novotel hotel in Canary Wharf, London. The view did not disappoint and we could see pretty much the whole of London from up there.",November 2019,1.0,BOKAN 38 Bar & 39 Rooftop,723743170
20,"This wasn’t my first time at Bokan’s but this time was disappointing. Apart from the warm greeting by Constantine at our arrival and the spectacular views of London, the service, especially from one waitress was poor. It took a long time to order, she did not smile once and after ordering four drinks and four dishes, she presented the bill which already included 12.50% service charge demanding we pay it in full before taking one sip and well before receiving our food! If this is the bar’s policy (very peculiar to pay for food and service before even receiving it!), you should inform customers and explain it in a professional and friendly manner. The food wasn’t even that great. Only worth the views.",September 2019,2.0,BOKAN 38 Bar & 39 Rooftop,708611677
21,"I visited the Bar and rooftop for date night last weekend and it was a lovely night. Coco was a fantastic waiter and he made sure my partner and I had a wonderful experience. The vibe was nice and the food was good. The rooftop was a perfect finish. The bar was quite busy but this is expected on a Saturday night. I would recommend and definitely visit again. The view is breath-taking, you really do see the beauty of London at night.!",June 2019,4.0,BOKAN 38 Bar & 39 Rooftop,685661964
22,"Nice decor, friendly staff, great views, good atmosphere, cocktails were quite expensive and although worth the price for the view and surroundings just weren't to my taste as most of them were Gin based which I know is the 'in' drink but if you're not a fan of gin like me you might be disappointed with the cocktail menu.",July 2019,4.0,BOKAN 38 Bar & 39 Rooftop,687782962
23,Stayed at the Novotel for the fourth time and did not want to go out for a late dinner. So I decided to go to the Bar and have something from the bar menu.,July 2019,3.0,BOKAN 38 Bar & 39 Rooftop,690181494
24,"Although the menu is somewhat limited, with a choice of only 6 entree & mains, everything we ordered was thoroughly delicious. Plus you really can’t knock the amazing views! 4/5* Recommended #Bokan",July 2019,4.0,BOKAN 38 Bar & 39 Rooftop,694224674
25,"I went on a walk on Sunday evening and was not dressed to visit a Rooftop bar. Suddenly, I passed the bar by hazard - I have seen it before on TripAdvisor but never visited it. So I thought might be good to quickly visit it.",August 2019,5.0,BOKAN 38 Bar & 39 Rooftop,695571146
26,"We are staying at the hotel, had lunch here.",August 2019,5.0,BOKAN 38 Bar & 39 Rooftop,699606818
27,"I ve been for the first time there, nice view but if you want some food at the bar, the best is to order the food first and the the drinks later, cuz it may take a while (in my case took more than 20 mins for some fries), the music is soo loud, it s like u re in a club, you can’t even have a discussion with the friends.",August 2019,2.0,BOKAN 38 Bar & 39 Rooftop,699695135
28,I guess the main reason for visiting Bokan if you are not staying at the hotel is the spectacular view across the city. That is the reason we went for drinks here and it was very pleasant. It was busy and therefore service at the bar was slow but you do not come here if you are in a hurry so no problem. £10 for two bottles of Peroni seemed reasonable in the circumstances and we enjoyed our drinks and the amazing view.,August 2019,4.0,BOKAN 38 Bar & 39 Rooftop,703074122
29,"Stunning views from both inside and out. Busy and difficult to get a seat, and definitely not cheap. Two cocktails were almost £25 once service charge had automatically been added - and you order your own drink from the bar so the definition of ‘service’ has been somewhat stretched. However, views really do make up for the cost.",August 2019,5.0,BOKAN 38 Bar & 39 Rooftop,700661937
30,This place has a real buzz about it and some of the best views in town. Perhaps a wider range of beers would be beneficial but overall well worth a visit!,May 2019,4.0,BOKAN 38 Bar & 39 Rooftop,677601416
31,The place it's situated on the 38th floor of Novotel which gives an amazing view.,June 2019,4.0,BOKAN 38 Bar & 39 Rooftop,679069080
32,The atmosphere here was lovely. The view was the best I had seen in London. We were able to see every landmark and the meandering river. Even the bathroom has great views! Cocktails were skilfully made.,June 2019,5.0,BOKAN 38 Bar & 39 Rooftop,678843352
33,"Both bars very nice, decor lovely, views amazing. Will definitately be visiting again. Very friendlubar staff.",May 2019,5.0,BOKAN 38 Bar & 39 Rooftop,681411884
34,Spotted this place whilst staying at neighbouring hotel in the Docklands area and thought we'd give it a go on a Saturday night.,June 2019,5.0,BOKAN 38 Bar & 39 Rooftop,682132611
35,"I arrived in an evening with friends, the view of London skyline at night is awesome, the service was great and the food hit the spot.",July 2018,5.0,BOKAN 38 Bar & 39 Rooftop,684542863
36,"I absolutely love this place! I make sure I stop by every time when I’m in London. The views are breathtaking, cocktails always different and the staff very friendly. Veny is my favorite- always there with a smile on her face, polite and ready to help you. I can’t wait to be back soon!",June 2019,5.0,BOKAN 38 Bar & 39 Rooftop,682492047
